Nigeria,Abia,Aba North,Ariaria
Nigeria,Abia,Aba North,Asa-Okpulor
Nigeria,Abia,Aba North,Asaokpuaja
Nigeria,Abia,Aba North,Eugene
Nigeria,Abia,Aba North,Eziama
Nigeria,Abia,Aba North,Industrial
Nigeria,Abia,Aba North,Ogbor 1
Nigeria,Abia,Aba North,Ogbor 2
Nigeria,Abia,Aba North,Old GRA
Nigeria,Abia,Aba North,Osusu 1
Nigeria,Abia,Aba North,Osusu 2
Nigeria,Abia,Aba North,Umuogor
Nigeria,Abia,Aba North,Umuola
Nigeria,Abia,Aba North,Uratta
Nigeria,Abia,Aba South,Aba River
Nigeria,Abia,Aba South,Aba Town Hall
Nigeria,Abia,Aba South,Asa
Nigeria,Abia,Aba South,Ekeoha
Nigeria,Abia,Aba South,Elu Ohazu
Nigeria,Abia,Aba South,Enyimba
Nigeria,Abia,Aba South,Eziukwu 1
Nigeria,Abia,Aba South,Eziukwu 2
Nigeria,Abia,Aba South,Glocester
Nigeria,Abia,Aba South,Igwebuike
Nigeria,Abia,Aba South,Iheorji
Nigeria,Abia,Aba South,Mbawsi Umuomainta
Nigeria,Abia,Aba South,Mosque
Nigeria,Abia,Aba South,Ngwa 1
Nigeria,Abia,Aba South,Ngwa 2
Nigeria,Abia,Aba South,Okporoenyi
Nigeria,Abia,Aba South,Umuogele
Nigeria,Abia,Arochukwu,Arochukwu 1
Nigeria,Abia,Arochukwu,Arochukwu 2
Nigeria,Abia,Arochukwu,Arochukwu 3
Nigeria,Abia,Arochukwu,Arochukwu 4
Nigeria,Abia,Arochukwu,Ebemoha
Nigeria,Abia,Arochukwu,Eleoha Ihe 1
Nigeria,Abia,Arochukwu,Eleoha Ihe 2
Nigeria,Abia,Arochukwu,Eleoha Ihe 3
Nigeria,Abia,Arochukwu,Eleoha Ututu
Nigeria,Abia,Arochukwu,Etiti Abam
Nigeria,Abia,Arochukwu,Ikwun 1
Nigeria,Abia,Arochukwu,Ikwun 2
Nigeria,Abia,Arochukwu,Isu
Nigeria,Abia,Arochukwu,Ohaeke
Nigeria,Abia,Arochukwu,Ohafor 1
Nigeria,Abia,Arochukwu,Ohafor 2
Nigeria,Abia,Arochukwu,Ovukwu
Nigeria,Abia,Arochukwu,Ututu
Nigeria,Abia,Bende,Alayi A
Nigeria,Abia,Bende,Alayi B
Nigeria,Abia,Bende,Bende
Nigeria,Abia,Bende,Igbere 1
Nigeria,Abia,Bende,Igbere 2
Nigeria,Abia,Bende,Igbere 3
Nigeria,Abia,Bende,Item 1
Nigeria,Abia,Bende,Item 2
Nigeria,Abia,Bende,Item 3
Nigeria,Abia,Bende,Item 4
Nigeria,Abia,Bende,Itumbauzo 1
Nigeria,Abia,Bende,Itumbauzo 2
Nigeria,Abia,Bende,Nkpa 1
Nigeria,Abia,Bende,Nkpa 2
Nigeria,Abia,Bende,Ozuitem
Nigeria,Abia,Bende,Ugwueke
Nigeria,Abia,Bende,Umuhu
Nigeria,Abia,Bende,Umuimenyi
Nigeria,Abia,Bende,Uzuakoli 1
Nigeria,Abia,Bende,Uzuakoli 2
Nigeria,Abia,Ikwuano,Agbaluozu
Nigeria,Abia,Ikwuano,Ajatanigu
Nigeria,Abia,Ikwuano,Ariam 1
Nigeria,Abia,Ikwuano,Azuiyi
Nigeria,Abia,Ikwuano,Ekpiri
Nigeria,Abia,Ikwuano,Ibere 1
Nigeria,Abia,Ikwuano,Ibere 2
Nigeria,Abia,Ikwuano,Ikemba
Nigeria,Abia,Ikwuano,Oboro 1
Nigeria,Abia,Ikwuano,Oboro 2
Nigeria,Abia,Ikwuano,Oboro 3
Nigeria,Abia,Ikwuano,Oboro 4
Nigeria,Abia,Ikwuano,Oloko 1
Nigeria,Abia,Ikwuano,Oloko 2
Nigeria,Abia,Ikwuano,Ugwuegbu
Nigeria,Abia,Ikwuano,Uhala-Uda/Origwe
Nigeria,Abia,Ikwuano,Usaka
Nigeria,Abia,Isiala-Ngwa North,Abayi Amorji
Nigeria,Abia,Isiala-Ngwa North,Achiudo
Nigeria,Abia,Isiala-Ngwa North,Agburuezeukwu
Nigeria,Abia,Isiala-Ngwa North,Ahiabaubi Umuchima
Nigeria,Abia,Isiala-Ngwa North,Amaasa
Nigeria,Abia,Isiala-Ngwa North,Amano Nsulu
Nigeria,Abia,Isiala-Ngwa North,Amasaa Ntigha
Nigeria,Abia,Isiala-Ngwa North,Eziama Ntigha
Nigeria,Abia,Isiala-Ngwa North,Ihie
Nigeria,Abia,Isiala-Ngwa North,Isiala Amapu
Nigeria,Abia,Isiala-Ngwa North,Isiala Enyiala
Nigeria,Abia,Isiala-Ngwa North,Isiala Nsulu
Nigeria,Abia,Isiala-Ngwa North,Mbawsi Umuomainta
Nigeria,Abia,Isiala-Ngwa North,Ngwaukwu 1
Nigeria,Abia,Isiala-Ngwa North,Ngwaukwu 2
Nigeria,Abia,Isiala-Ngwa North,Oria na Ugaa
Nigeria,Abia,Isiala-Ngwa North,Ovuokwu
Nigeria,Abia,Isiala-Ngwa North,Umuelemoh Mbawsi
Nigeria,Abia,Isiala-Ngwa North,Umuha
Nigeria,Abia,Isiala-Ngwa North,Umunna
Nigeria,Abia,Isiala-Ngwa South,Aku-na Ekpu I
Nigeria,Abia,Isiala-Ngwa South,Alaukwu
Nigeria,Abia,Isiala-Ngwa South,Amaise
Nigeria,Abia,Isiala-Ngwa South,Amaise Ahaba
Nigeria,Abia,Isiala-Ngwa South,Amaitolu
Nigeria,Abia,Isiala-Ngwa South,Anyambutu
Nigeria,Abia,Isiala-Ngwa South,Ehi-na-Uguru
Nigeria,Abia,Isiala-Ngwa South,Ikeala Mbutu
Nigeria,Abia,Isiala-Ngwa South,Mbutu Ngwa
Nigeria,Abia,Isiala-Ngwa South,Mbutu Ukwu
Nigeria,Abia,Isiala-Ngwa South,Ngwaobi
Nigeria,Abia,Isiala-Ngwa South,Obintu Mbutu
Nigeria,Abia,Isiala-Ngwa South,Okporo Ahaba
Nigeria,Abia,Isiala-Ngwa South,Omoba
Nigeria,Abia,Isiala-Ngwa South,Osokwa
Nigeria,Abia,Isiala-Ngwa South,Ovungwu ward
Nigeria,Abia,Isiala-Ngwa South,Ovuokwu
Nigeria,Abia,Isiala-Ngwa South,Owerenoche
Nigeria,Abia,Isuikwuato,Absu/Umuayi
Nigeria,Abia,Isuikwuato,Acha/Amachara
Nigeria,Abia,Isuikwuato,Achara
Nigeria,Abia,Isuikwuato,Amiyiobinohia
Nigeria,Abia,Isuikwuato,Eluma
Nigeria,Abia,Isuikwuato,Ezere
Nigeria,Abia,Isuikwuato,Glocester
Nigeria,Abia,Isuikwuato,Ikeagha 1
Nigeria,Abia,Isuikwuato,Ikeagha 2
Nigeria,Abia,Isuikwuato,Imenyi 1
Nigeria,Abia,Isuikwuato,Imenyi 2
Nigeria,Abia,Isuikwuato,Isiala
Nigeria,Abia,Isuikwuato,Isunabo (Isukwator)
Nigeria,Abia,Isuikwuato,Ndundu
